"symbol","date","adjusted","total_volume","return"
"ABNB",2024-01-31,144.14,90392700,5.88
"ABNB",2024-02-29,157.47,124280100,9.25
"ABNB",2024-03-28,164.96,88999800,4.76
"ABNB",2024-04-30,158.57,67972800,-3.87
"ABNB",2024-05-31,144.93,104859400,-8.6
"ABNB",2024-06-28,151.63,72989300,4.62
"ABNB",2024-07-31,139.56,81209000,-7.96
"ABNB",2024-08-30,117.31,136894000,-15.94
"ABNB",2024-09-30,126.81,88046100,8.1
"ABNB",2024-10-31,134.79,71384000,6.29
"ABNB",2024-11-29,136.11,117446300,0.98
"ABNB",2024-12-30,131.81,90014800,-3.16
"ABT",2023-01-31,106.19,102767600,1.15
"ABT",2023-02-28,97.7,88645400,-8
"ABT",2023-03-31,97.26,129263600,-0.45
"ABT",2023-04-28,106.64,111525900,9.64
"ABT",2023-05-31,98.46,92188800,-7.67
"ABT",2023-06-30,105.24,108475600,6.89
"ABT",2023-07-31,107.98,97307900,2.6
"ABT",2023-08-31,99.81,96269200,-7.57
"ABT",2023-09-29,93.94,88115700,-5.88
"ABT",2023-10-31,92.22,154056800,-1.83
"ABT",2023-11-30,101.72,127315400,10.3
"ABT",2023-12-29,107.35,97008600,5.53
"ABT",2024-01-31,110.89,112974400,3.3
"ABT",2024-02-29,116.27,106412700,4.85
"ABT",2024-03-28,111.39,131186000,-4.2
"ABT",2024-04-30,104.37,116327500,-6.3
"ABT",2024-05-31,100.65,125481300,-3.56
"ABT",2024-06-28,102.34,115336900,1.68
"ABT",2024-07-31,104.89,168901900,2.49
"ABT",2024-08-30,112.15,115681000,6.92
"ABT",2024-09-30,112.88,97588100,0.65
"ABT",2024-10-31,112.78,114207200,-0.09
"ABT",2024-11-29,118.15,105779400,4.76
"ABT",2024-12-30,112.21,96396000,-5.03
"ACGL",2023-01-31,61.19,28815700,2.5
"ACGL",2023-02-28,66.56,41796100,8.78
"ACGL",2023-03-31,64.54,60010200,-3.03
"ACGL",2023-04-28,71.38,35601400,10.6
"ACGL",2023-05-31,66.28,41880000,-7.14
"ACGL",2023-06-30,71.17,39158200,7.38
"ACGL",2023-07-31,73.88,49297400,3.81
"ACGL",2023-08-31,73.09,35754800,-1.07
